,Name,Train Acc,Test Acc,Training Time (s)
0,Naive,,,
1,Naive Bayes,0.5175759668508287,0.503832608245287,1.2253605431459982
2,Logistic Regression,0.6346685082872928,0.5344934742075823,6.861269914334465
3,Multi Layer Perceptron,0.617506906077348,0.5445411228506318,57.50351855977203
4,Linear SVM,0.644267955801105,0.5258960016573441,21112.129369276674
5,RBF Kernel SVM,0.5854627071823204,0.5432981147710794,2210.1508145836124
6,Nearest Neighbors,0.6957527624309392,0.5078723845038327,4.479550999527419
7,Decision Tree,0.5027969613259669,0.5001035840066294,0.8576444829013781
8,Logistic LASSO CV,0.5450276243093922,0.535218562253988,1024.0371096979143
