,Name,Train Acc,Test Acc,Training Time (s)
0,Naive,,,
1,Naive Bayes,0.5178176795580111,0.5040397762585457,3.1853117719239727
2,Logistic Regression,0.6346685082872928,0.5359436503003936,11.217886090806864
3,Multi Layer Perceptron,0.6183011049723757,0.5545887714936814,184.62898178997114
4,Linear SVM,0.643646408839779,0.5291071058628548,18832.52811791411
5,RBF Kernel SVM,0.5864295580110497,0.5458877149368138,1790.7585332202652
6,Nearest Neighbors,0.6980662983425414,0.5010358400662938,3.84024594020957
7,Decision Tree,0.5130524861878453,0.5131551688419308,0.32182647570152767
8,Logistic LASSO CV,0.5483080110497237,0.5307644499689248,587.1332716308461
