,Name,Train Acc,Test Acc,Training Time (s)
0,Naive,,,
1,Naive Bayes,0.5167472375690608,0.5023824321524757,1.7398874996256415
2,Logistic Regression,0.6396063535911602,0.5325253780816241,7.985854786640262
3,Multi Layer Perceptron,0.6227555248618785,0.5406049305987155,68.10999863384784
4,Linear SVM,0.6450276243093923,0.5284856018230785,14092.329693542943
5,RBF Kernel SVM,0.5848066298342541,0.5451626268904082,1793.5500686563264
6,Nearest Neighbors,0.6952348066298343,0.5044541122850632,3.9314515715486777
7,Decision Tree,0.5013812154696132,0.5001035840066294,0.2068424120916461
