,Name,Train Acc,Test Acc,Training Time (s)
0,Naive,,0.4931592039800995,
1,Naive Bayes,0.5668532338308457,0.5404228855721394,0.004670000000000174
2,Logistic Regression,0.5848880597014925,0.5304726368159204,0.12550099999999986
3,Multi Layer Perceptron,0.6999378109452736,0.5559701492537313,1.832512
4,Gradient Boosting Classifier,0.9987562189054726,0.5478855721393034,15.028158
5,Linear SVM,0.683768656716418,0.5404228855721394,0.8893399999999971
6,Nearest Neighbors,0.7067786069651741,0.5248756218905473,0.006413999999999476
7,Decision Tree,1.0,0.5460199004975125,0.20966000000000307
