Name,GameNum,opp_Name,opp_GameNum,at-bats,hits,doubles,triples,Homeruns,RBI,SacrificeHits,hit-by-pitch,walks,intentionalWalks,strikeouts,StolenBases,CaughtStealing,GroundedIntoDoublePlays,AwardedFirstOnCatcherInterference,LeftOnBase,PitchersUsed,IndividualEarnedRuns,TeamEarnedRuns,WildPitches,Balks,putouts,assists,errors,PassedBalls,doublePlays,TriplePlays,opp_at-bats,opp_hits,opp_doubles,opp_triples,opp_Homeruns,opp_RBI,opp_SacrificeHits,opp_hit-by-pitch,opp_walks,opp_intentionalWalks,opp_strikeouts,opp_StolenBases,opp_CaughtStealing,opp_GroundedIntoDoublePlays,opp_AwardedFirstOnCatcherInterference,opp_LeftOnBase,opp_PitchersUsed,opp_IndividualEarnedRuns,opp_TeamEarnedRuns,opp_WildPitches,opp_Balks,opp_putouts,opp_assists,opp_errors,opp_PassedBalls,opp_doublePlays,opp_TriplePlays
BRO,86.0,MLN,85.0,35.0,10.0,1.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,3.0,9.0,9.0,0.0,0.0,26.0,15.0,0.0,0.0,0.0,0.0,37.0,12.0,1.0,0.0,1.0,9.0,1.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,9.0,3.0,6.0,6.0,1.0,0.0,27.0,14.0,2.0,0.0,1.0,0.0
BRO,87.0,MLN,86.0,31.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,5.0,3.0,6.0,6.0,0.0,0.0,24.0,7.0,1.0,0.0,0.0,0.0,32.0,9.0,2.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,27.0,12.0,0.0,0.0,0.0,0.0
BRO,88.0,MLN,87.0,35.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,3.0,0.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,33.0,14.0,1.0,0.0,0.0,0.0,45.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,2.0,0.0,0.0,33.0,16.0,0.0,0.0,3.0,0.0
BRO,89.0,CHN,85.0,39.0,12.0,2.0,0.0,3.0,12.0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,6.0,0.0,0.0,27.0,11.0,2.0,0.0,1.0,0.0,36.0,9.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,3.0,12.0,12.0,1.0,0.0,27.0,9.0,1.0,0.0,0.0,0.0
BRO,90.0,CHN,86.0,31.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,24.0,11.0,5.0,1.0,0.0,0.0,32.0,7.0,1.0,1.0,1.0,7.0,0.0,0.0,5.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,3.0,0.0,0.0,27.0,3.0,2.0,0.0,2.0,0.0
BRO,91.0,CHN,87.0,39.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,0.0,0.0,29.0,8.0,1.0,0.0,0.0,0.0,39.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,30.0,13.0,2.0,0.0,0.0,0.0
BRO,92.0,CIN,93.0,38.0,15.0,6.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,6.0,0.0,0.0,2.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,27.0,13.0,1.0,0.0,2.0,0.0
BRO,93.0,CIN,94.0,37.0,13.0,3.0,0.0,2.0,7.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,3.0,3.0,0.0,0.0,27.0,10.0,3.0,0.0,0.0,0.0,36.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,4.0,8.0,8.0,0.0,0.0,27.0,13.0,0.0,1.0,1.0,0.0
BRO,94.0,SLN,92.0,32.0,6.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,3.0,5.0,5.0,0.0,0.0,24.0,9.0,3.0,0.0,3.0,0.0,34.0,12.0,3.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,4.0,4.0,0.0,0.0,27.0,11.0,0.0,0.0,1.0,0.0
BRO,95.0,SLN,93.0,32.0,9.0,0.0,0.0,3.0,6.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,3.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,27.0,13.0,1.0,0.0,1.0,0.0,38.0,12.0,2.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,6.0,3.0,1.0,1.0,0.0,9.0,5.0,5.0,5.0,1.0,0.0,27.0,10.0,1.0,0.0,4.0,0.0
