,Name,Train Acc,Test Acc,Training Time (s)
0,Naive,,,
1,Naive Bayes,0.5617677365187193,0.5179164281625644,1.372391336543996
2,Logistic Regression,0.6457275884440713,0.5370349170005724,4.106257920503072
3,Multi Layer Perceptron,0.6054268595199023,0.5447052089295936,40.256467376655536
4,Linear SVM,0.649734763195054,0.5341728677733257,21581.53343934346
5,RBF Kernel SVM,0.5869175285272679,0.5447052089295936,1469.1389114187768
6,Nearest Neighbors,0.697057588825707,0.4979965655409273,4.214592146145151
7,Decision Tree,0.5010876617181239,0.4997137950772753,0.22458351846216829
